passageId,gradeLevel,title,topicDomain,ruleId,result,severity,clusterId,score,evidence,notes
pssa_psg_g3_creek_watchers,3,The Night the Creek Glowed,science/nature,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.8837,concrete=just|sunset|maya|noticed|pale|green|shine|along|pine|creek|glow|bright|like|flashlight|looked|like|soft|line|paint|floating; generic=class|teacher|explained|look|class|wrote|class|question|place|compared|notes|chart|teacher|class|wrote|instead|asked|needed|careful|changes,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_map_in_the_station,3,A Map Under the Bench,history/social studies,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.9351,concrete=workers|lifted|wooden|bench|linden|station|found|folded|thin|square|dust|covered|front|blue|rail|lines|still|crossed|page|date; generic=paper|paper|showed|people|match|people|paper|perfect|showed|place,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_a_cooler_lunch_line,3,The Bell That Saved Lunch,school/community,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.8896,concrete=tuesday|room|knew|lunch|line|soup|cooled|bowls|students|searched|spoons|milk|cartons|crowded|counter|line|stopped|whenever|someone|step; generic=problem|asked|class|class|careful|class|paper|showed|wrote|chart|decided|check|useful|class|instead|solution|work|class,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_mural_plan,3,Blue Paint for Saturday,arts/culture,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.9686,concrete=carried|smallest|paint|wrist|still|purple|soccer|bruise|label|said|blue|inside|paint|looked|like|melted|berries|grandpa|laughed|face; generic=asked|people|move|asked|route,Concrete topic detail ratio passes calibrated threshold.
pssa_psg_g3_the_cart_that_would_not_turn,3,The Cart That Would Not Turn,everyday problem-solving,PSSA_PASSAGE_CONCRETENESS,PASS,INFO,,0.902,concrete=supply|cart|should|roll|guide|green|cart|room|students|pushed|toward|sink|front|wheel|wobbled|left|pulled|back|cart|scraped; generic=paper|problem|another|teacher|student|class|class|check|paper|time|instead|class|careful|saved|time,Concrete topic detail ratio passes calibrated threshold.
