passageId,gradeLevel,title,topicDomain,ruleId,result,severity,clusterId,score,evidence,notes
pssa_psg_g3_creek_watchers,3,The Night the Creek Glowed,science/nature,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_the_map_in_the_station,3,A Map Under the Bench,history/social studies,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_a_cooler_lunch_line,3,The Bell That Saved Lunch,school/community,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_the_mural_plan,3,Blue Paint for Saturday,arts/culture,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
pssa_psg_g3_the_cart_that_would_not_turn,3,The Cart That Would Not Turn,everyday problem-solving,PSSA_PASSAGE_CROSS_DUPLICATE,PASS,INFO,,0,No cross-passage duplicate sentence or shingle overlap found.,Unique against evaluated passages.
