"itemId","eligibleContent","interactionType","pointValue","reviewStatus","itemStatus","requiresFigure","evidenceKind","studentPreviewLeakFree"
"pssa_item_g3_eoy_p2_mcq_ak111","E03.A-K.1.1.1","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p2_mcq_ac211","E03.A-C.2.1.1","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p2_mcq_av411","E03.A-V.4.1.1","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p2_mcq_av412","E03.A-V.4.1.2","MCQ","1","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p2_mcq_ak112","E03.A-K.1.1.2","MCQ","1","PENDING","candidate","false","whole_passage_synthesis","PASS"
"pssa_item_g3_eoy_p2_te_ak113","E03.A-K.1.1.3","MATCHING_GRID","3","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p2_sa_ak112","E03.A-K.1.1.2","SHORT_ANSWER","3","PENDING","candidate","false","passage_only","PASS"
"pssa_item_g3_eoy_p2_mcq_ac211_ao5","E03.A-C.2.1.1","MCQ","1","PENDING","candidate","false","passage_only","PASS"
