batchId,streamType,gradeLevel,batchGate,batchResult,itemCount
reading_mcq_grade3,MCQ,3,PSSA_MCQ_ANSWER_POSITION_DISTRIBUTION A:11 B:11 C:9 D:9,PASS,40
ebsr_grade3,EBSR,3,PSSA_EBSR_ANSWER_POSITION_DISTRIBUTION,PASS,7
multi_select_grade3,MULTI_SELECT,3,PSSA_TEI_SURFACE_SHORTCUT_DISTRIBUTION,PASS,7
hot_text_grade3,HOT_TEXT,3,PSSA_TEI_SURFACE_SHORTCUT_DISTRIBUTION,PASS,7
matching_grid_grade3,MATCHING_GRID,3,PSSA_MG_DD_SURFACE_SHORTCUT_DISTRIBUTION,PASS,7
drag_drop_grade3,DRAG_DROP,3,PSSA_MG_DD_SURFACE_SHORTCUT_DISTRIBUTION,PASS,7
conventions_grade3,CONVENTIONS,3,PSSA_CONVENTIONS_SURFACE_SHORTCUT_DISTRIBUTION,PASS,9
short_answer_grade3_pool,SHORT_ANSWER,3,PSSA_SHORT_ANSWER_POOL_BLUEPRINT,PASS,7
