position,itemId,slotType,pointValue,category,passageId,approvedContentHashSnapshot
1,pssa_ebsr_g3_cart_01,multipoint,2,B,pssa_psg_g3_the_cart_that_would_not_turn,sha256:dc0615f301526e1facedded9d16816443cf5cd68ca24420f732ef6765f240125
2,pssa_ebsr_g3_creek_01,multipoint,2,B,pssa_psg_g3_creek_watchers,sha256:095c34d5d858406c94e56d2a6eadc7d658861a469c6f8f8909e7014b4300735b
3,pssa_ebsr_g3_lunch_01,multipoint,2,B,pssa_psg_g3_a_cooler_lunch_line,sha256:e3a825840495667ce4dd1627a0fa362e463f03ac5281da64f01720e36758ccca
4,pssa_ebsr_g3_mural_01,multipoint,2,A,pssa_psg_g3_the_mural_plan,sha256:1f2d029e1f9ad5fb0263bb265dda7c87aaf85d808abd7daddc457ce1ad943f5b
5,pssa_conv_g3_drag_address_01,conventions_1pt,1,D,,sha256:f3df4c0eace150cbc80198eaa73cd624c0ce0ea80df97b30f3ac72736acee29a
