entityType,entityId,source,requiredFields,presentFields,missingFields,completenessPercent
diagnostic_item,30001,generated,7,7,,100
diagnostic_item,30002,generated,7,7,,100
diagnostic_item,30003,generated,7,7,,100
diagnostic_item,30004,generated,7,7,,100
diagnostic_item,30005,generated,7,7,,100
diagnostic_item,30006,generated,7,7,,100
diagnostic_item,30007,generated,7,7,,100
diagnostic_item,30008,generated,7,7,,100
diagnostic_item,30009,generated,7,7,,100
diagnostic_item,30010,generated,7,7,,100
diagnostic_item,30011,generated,7,7,,100
diagnostic_item,30012,generated,7,7,,100
diagnostic_item,30013,generated,7,7,,100
diagnostic_item,30014,generated,7,7,,100
diagnostic_item,30015,generated,7,7,,100
diagnostic_item,30016,generated,7,7,,100
diagnostic_item,30017,generated,7,7,,100
diagnostic_item,30018,generated,7,7,,100
diagnostic_item,30019,generated,7,7,,100
diagnostic_item,30020,generated,7,7,,100
diagnostic_item,30021,generated,7,7,,100
diagnostic_item,30022,generated,7,7,,100
diagnostic_item,30023,generated,7,7,,100
diagnostic_item,30024,generated,7,7,,100
diagnostic_item,30025,generated,7,7,,100
diagnostic_item,30026,generated,7,7,,100
diagnostic_item,30027,generated,7,7,,100
diagnostic_item,30028,generated,7,7,,100
diagnostic_item,30029,generated,7,7,,100
diagnostic_item,30030,generated,7,7,,100
diagnostic_item,30031,generated,7,7,,100
diagnostic_item,30032,generated,7,7,,100
diagnostic_item,30033,generated,7,7,,100
diagnostic_item,30034,generated,7,7,,100
diagnostic_item,30035,generated,7,7,,100
diagnostic_item,30036,generated,7,7,,100
diagnostic_item,30037,generated,7,7,,100
diagnostic_item,30038,generated,7,7,,100
diagnostic_item,30039,generated,7,7,,100
diagnostic_item,30040,generated,7,7,,100
diagnostic_item,30041,generated,7,7,,100
diagnostic_item,30042,generated,7,7,,100
diagnostic_item,30043,generated,7,7,,100
diagnostic_item,30044,generated,7,7,,100
diagnostic_item,30045,generated,7,7,,100
diagnostic_item,30046,generated,7,7,,100
diagnostic_item,30047,generated,7,7,,100
diagnostic_item,30048,generated,7,7,,100
