subject,gradeLevel,reportingCategory,reportingCategoryTitle,assessmentAnchor,assessmentAnchorTitle,anchorDescriptor,anchorDescriptorText,eligibleContent,eligibleContentText,dokCeiling,paCoreStandardCodes,primaryPaCoreStandardCode,mappingGranularity,mappingConfidence,sourceDocument,sourceVersionYear,sourceUpdatedYear,sourceAnomalyJson
ELA,6,A,Literature Text,E06.A-K.1,Key Ideas and Details,E06.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E06.A-K.1.1.1,Cite textual evidence to support analysis of what the text says explicitly as well as inferences and/or generalizations drawn from the text.,,CC.1.3.6.A|CC.1.3.6.B|CC.1.3.6.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,A,Literature Text,E06.A-K.1,Key Ideas and Details,E06.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E06.A-K.1.1.2,Determine a theme or central idea of a text and how it is conveyed through relevant details; provide a summary of the text distinct from personal opinions or judgments.,,CC.1.3.6.A|CC.1.3.6.B|CC.1.3.6.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,A,Literature Text,E06.A-K.1,Key Ideas and Details,E06.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E06.A-K.1.1.3,"Describe how the plot of a particular story, drama, or poem unfolds, as well as how the characters respond or change as the plot moves toward a resolution.",,CC.1.3.6.A|CC.1.3.6.B|CC.1.3.6.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,A,Literature Text,E06.A-C.2,Craft and Structure,E06.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E06.A-C.2.1.1,Determine an author's purpose in a text and explain how it is conveyed in the text; explain how an author develops the point of view of the narrator or speaker in a text; describe the effectiveness of the point of view used by the author.,,CC.1.3.6.D|CC.1.3.6.E|CC.1.3.6.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,A,Literature Text,E06.A-C.2,Craft and Structure,E06.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E06.A-C.2.1.2,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot.",,CC.1.3.6.D|CC.1.3.6.E|CC.1.3.6.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,A,Literature Text,E06.A-C.2,Craft and Structure,E06.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E06.A-C.2.1.3,"Determine how the author uses the meaning of words or phrases, including figurative and connotative meanings, in a text; analyze the impact of a specific word choice on meaning and tone.",,CC.1.3.6.D|CC.1.3.6.E|CC.1.3.6.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,A,Literature Text,E06.A-C.3,Integration of Knowledge and Ideas,E06.A-C.3.1,"Demonstrate understanding of connections within, between, and/or among texts.",E06.A-C.3.1.1,"Compare and contrast texts in different forms or genres (e.g., stories, dramas, poems, historical novels, fantasy stories) in terms of their approaches to similar themes and topics.",,CC.1.3.6.H,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,A,Literature Text,E06.A-V.4,Vocabulary Acquisition and Use,E06.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E06.A-V.4.1.1,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 6 reading and content, choosing flexibly from a range of strategies (context clues such as a word's position or function; common Greek or Latin affixes and roots).",,CC.1.3.6.F|CC.1.3.6.I|CC.1.3.6.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,A,Literature Text,E06.A-V.4,Vocabulary Acquisition and Use,E06.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E06.A-V.4.1.2,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings (simile, metaphor, personification, hyperbole; word relationships such as cause/effect, part/whole, item/category, synonym/antonym; connotations vs. denotations).",,CC.1.3.6.F|CC.1.3.6.I|CC.1.3.6.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,6,B,Informational Text,E06.B-K.1,Key Ideas and Details,E06.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E06.B-K.1.1.1,Cite textual evidence to support analysis of what the text says explicitly as well as inferences and/or generalizations drawn from the text.,,CC.1.2.6.A|CC.1.2.6.B|CC.1.2.6.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 6 ELA Assessment Anchors and Eligible Content,2014,2017,
