subject,gradeLevel,reportingCategory,reportingCategoryTitle,assessmentAnchor,assessmentAnchorTitle,anchorDescriptor,anchorDescriptorText,eligibleContent,eligibleContentText,dokCeiling,paCoreStandardCodes,primaryPaCoreStandardCode,mappingGranularity,mappingConfidence,sourceDocument,sourceVersionYear,sourceUpdatedYear,sourceAnomalyJson
ELA,8,A,Literature Text,E08.A-K.1,Key Ideas and Details,E08.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E08.A-K.1.1.1,"Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences, conclusions, and/or generalizations drawn from the text.",,CC.1.3.8.A|CC.1.3.8.B|CC.1.3.8.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,A,Literature Text,E08.A-K.1,Key Ideas and Details,E08.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E08.A-K.1.1.2,"Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text.",,CC.1.3.8.A|CC.1.3.8.B|CC.1.3.8.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,A,Literature Text,E08.A-K.1,Key Ideas and Details,E08.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E08.A-K.1.1.3,"Analyze how particular lines of dialogue or incidents in a story, drama, or poem propel the action, reveal aspects of a character, or provoke a decision.",,CC.1.3.8.A|CC.1.3.8.B|CC.1.3.8.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,A,Literature Text,E08.A-C.2,Craft and Structure,E08.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E08.A-C.2.1.1,"Analyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor.",,CC.1.3.8.D|CC.1.3.8.E|CC.1.3.8.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,A,Literature Text,E08.A-C.2,Craft and Structure,E08.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E08.A-C.2.1.2,"Compare and contrast the structure of two or more texts, and analyze how the differing structure of each text contributes to its meaning and style.",,CC.1.3.8.D|CC.1.3.8.E|CC.1.3.8.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,A,Literature Text,E08.A-C.2,Craft and Structure,E08.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E08.A-C.2.1.3,"Determine how the author uses the meaning of words or phrases, including figurative and connotative meanings, in a text; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts.",,CC.1.3.8.D|CC.1.3.8.E|CC.1.3.8.F,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,A,Literature Text,E08.A-C.3,Integration of Knowledge and Ideas,E08.A-C.3.1,"Demonstrate understanding of connections within, between, and/or among texts.",E08.A-C.3.1.1,"Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths and traditional stories, including describing how the material is rendered new.",,CC.1.3.8.H,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,A,Literature Text,E08.A-V.4,Vocabulary Acquisition and Use,E08.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E08.A-V.4.1.1,"Determine or clarify the meaning of unknown and multiple-meaning words or phrases based on grade 8 reading and content, choosing flexibly from a range of strategies (context clues; common Greek or Latin affixes and roots).",,CC.1.3.8.F|CC.1.3.8.I|CC.1.3.8.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,A,Literature Text,E08.A-V.4,Vocabulary Acquisition and Use,E08.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E08.A-V.4.1.2,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings (figures of speech such as verbal irony and puns; word relationships; connotations vs. denotations).",,CC.1.3.8.F|CC.1.3.8.I|CC.1.3.8.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,8,B,Informational Text,E08.B-K.1,Key Ideas and Details,E08.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E08.B-K.1.1.1,"Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences, conclusions, and/or generalizations drawn from the text.",,CC.1.2.8.A|CC.1.2.8.B|CC.1.2.8.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 8 ELA Assessment Anchors and Eligible Content,2014,2017,
