subject,gradeLevel,reportingCategory,reportingCategoryTitle,assessmentAnchor,assessmentAnchorTitle,anchorDescriptor,anchorDescriptorText,eligibleContent,eligibleContentText,dokCeiling,paCoreStandardCodes,primaryPaCoreStandardCode,mappingGranularity,mappingConfidence,sourceDocument,sourceVersionYear,sourceUpdatedYear,sourceAnomalyJson
ELA,4,A,Literature Text,E04.A-K.1,Key Ideas and Details,E04.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E04.A-K.1.1.1,Refer to details and examples in a text when explaining what the text explicitly says and when drawing inferences from the text.,,CC.1.3.4.A|CC.1.3.4.B|CC.1.3.4.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,A,Literature Text,E04.A-K.1,Key Ideas and Details,E04.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E04.A-K.1.1.2,"Determine a theme of a story, drama, or poem from details in the text; summarize the text.",,CC.1.3.4.A|CC.1.3.4.B|CC.1.3.4.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,A,Literature Text,E04.A-K.1,Key Ideas and Details,E04.A-K.1.1,Demonstrate understanding of key ideas and details in literature.,E04.A-K.1.1.3,"Describe in depth a character, setting, or event in a story, drama, or poem, drawing on specific details in the text (e.g., a character's thoughts, words, or actions).",,CC.1.3.4.A|CC.1.3.4.B|CC.1.3.4.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,A,Literature Text,E04.A-C.2,Craft and Structure,E04.A-C.2.1,Demonstrate understanding of craft and structure in literature.,E04.A-C.2.1.1,"Compare and contrast the point of view from which different stories are narrated, including the difference between first- and third-person narrations.",,CC.1.3.4.D,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,A,Literature Text,E04.A-C.3,Integration of Knowledge and Ideas,E04.A-C.3.1,"Demonstrate understanding of connections within, between, and/or among texts.",E04.A-C.3.1.1,"Compare and contrast the treatment of similar themes and topics (e.g., opposition of good and evil) and patterns of events (e.g., the quest) in stories, myths, and traditional literature from different cultures.",,CC.1.3.4.H,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,A,Literature Text,E04.A-V.4,Vocabulary Acquisition and Use,E04.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E04.A-V.4.1.1,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies (context clues including allusions, Greek and Latin affixes and roots).",,CC.1.3.4.F|CC.1.3.4.I|CC.1.3.4.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,A,Literature Text,E04.A-V.4,Vocabulary Acquisition and Use,E04.A-V.4.1,Demonstrate understanding of vocabulary and figurative language in literature.,E04.A-V.4.1.2,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings (similes and metaphors; idioms, adages, and proverbs; antonyms and synonyms).",,CC.1.3.4.F|CC.1.3.4.I|CC.1.3.4.J,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,B,Informational Text,E04.B-K.1,Key Ideas and Details,E04.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E04.B-K.1.1.1,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,,CC.1.2.4.A|CC.1.2.4.B|CC.1.2.4.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,B,Informational Text,E04.B-K.1,Key Ideas and Details,E04.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E04.B-K.1.1.2,Determine the main idea of a text and explain how it is supported by key details; summarize the text.,,CC.1.2.4.A|CC.1.2.4.B|CC.1.2.4.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,B,Informational Text,E04.B-K.1,Key Ideas and Details,E04.B-K.1.1,Demonstrate understanding of key ideas and details in informational texts.,E04.B-K.1.1.3,"Explain events, procedures, ideas, steps, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text.",,CC.1.2.4.A|CC.1.2.4.B|CC.1.2.4.C,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,B,Informational Text,E04.B-C.2,Craft and Structure,E04.B-C.2.1,Demonstrate understanding of craft and structure in informational texts.,E04.B-C.2.1.1,Compare and contrast a firsthand and secondhand account of the same event or topic; describe the differences in focus and the information provided.,,CC.1.2.4.D|CC.1.2.4.E,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,B,Informational Text,E04.B-C.2,Craft and Structure,E04.B-C.2.1,Demonstrate understanding of craft and structure in informational texts.,E04.B-C.2.1.2,"Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information and text features in a text or part of a text.",,CC.1.2.4.D|CC.1.2.4.E,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
ELA,4,B,Informational Text,E04.B-C.3,Integration of Knowledge and Ideas,E04.B-C.3.1,"Demonstrate understanding of connections within, between, and/or among informational texts.",E04.B-C.3.1.1,Explain how an author uses reasons and evidence to support particular points in a text.,,CC.1.2.4.G|CC.1.2.4.H|CC.1.2.4.I,,ANCHOR_BLOCK,SOURCE_ANCHOR_LEVEL,PDE Grade 4 ELA Assessment Anchors and Eligible Content,2014,2017,
